""             ,"Method"                   ,"AUC"            ,"Sensitivity"    ,"Specificity"    ,"PPV"            ,"NPV"            ,"DetectionRate","BalancedAccuracy","SimpleAccuracy","Precision"      ,"Recall"         ,"F1"
"Sensitivity"  ,"Logistic Regression"      ,0.949595238095238,0.922861150070126,0.853658536585366,0.94             ,0.816666666666667,0.658          ,0.888259843327746 ,0.903           ,0.94             ,0.922861150070126,0.931351733899505
"Sensitivity1" ,"KNN"                      ,0.918566666666667,0.902266288951841,0.785714285714286,0.91             ,0.77             ,0.637          ,0.843990287333064 ,0.868           ,0.91             ,0.902266288951841,0.906116642958748
"Sensitivity2" ,"LDA"                      ,0.954547619047619,0.942815249266862,0.820754716981132,0.918571428571429,0.87             ,0.643          ,0.881784983123997 ,0.904           ,0.918571428571429,0.942815249266862,0.930535455861071
"Sensitivity3" ,"Naive Bayes"              ,0.833423809523809,0.885286783042394,0.424040066777963,0.507142857142857,0.846666666666667,0.355          ,0.654663424910179 ,0.609           ,0.507142857142857,0.885286783042394,0.644868301544051
"Sensitivity4" ,"Simple Tree"              ,0.887807142857143,0.928895612708018,0.746312684365782,0.877142857142857,0.843333333333333,0.614          ,0.8376041485369   ,0.867           ,0.877142857142857,0.928895612708018,0.902277736958119
"Sensitivity5" ,"Pruned Tree"              ,0.906790476190476,0.898989898989899,0.749185667752443,0.89             ,0.766666666666667,0.623          ,0.824087783371171 ,0.853           ,0.89             ,0.898989898989899,0.894472361809045
"Sensitivity6" ,"Bagging"                  ,0.952378571428572,0.946564885496183,0.768115942028985,0.885714285714286,0.883333333333333,0.62           ,0.857340413762584 ,0.885           ,0.885714285714286,0.946564885496183,0.915129151291513
"Sensitivity7" ,"Random Forest"            ,0.978833333333333,0.958762886597938,0.847352024922118,0.93             ,0.906666666666667,0.651          ,0.903057455760028 ,0.923           ,0.93             ,0.958762886597938,0.944162436548223
"Sensitivity8" ,"Boosting"                 ,0.972614285714283,0.86             ,0.937142857142857,0.854304635761589,0.939828080229226,0.258          ,0.898571428571429 ,0.914           ,0.854304635761589,0.86             ,0.857142857142857
"Sensitivity9" ,"Maximal Margin Classifier",0.897566666666667,0.72037422037422 ,0.815789473684211,0.99             ,0.103333333333333,0.693          ,0.768081847029215 ,0.724           ,0.99             ,0.72037422037422 ,0.833935018050541
"Sensitivity10","Support Vector Classifier",0.950690476190474,0.923943661971831,0.848275862068966,0.937142857142857,0.82             ,0.656          ,0.886109762020398 ,0.902           ,0.937142857142857,0.923943661971831,0.930496453900709
"Sensitivity11","SVM radial"               ,0.923195238095235,0.835012594458438,0.820388349514563,0.947142857142857,0.563333333333333,0.663          ,0.827700471986501 ,0.832           ,0.947142857142857,0.835012594458438,0.887550200803213
"Sensitivity12","SVM Sigmoid"              ,0.766476190476191,0.730635838150289,0.496296296296296,0.902857142857143,0.223333333333333,0.632          ,0.613466067223293 ,0.699           ,0.902857142857143,0.730635838150289,0.807667731629393
"Sensitivity13","SVM Polynomial"           ,0.949414285714284,0.934285714285714,0.846666666666667,0.934285714285714,0.846666666666667,0.654          ,0.89047619047619  ,0.908           ,0.934285714285714,0.934285714285714,0.934285714285714
